학년,학기,이수구분,학수번호,학부(과),교과목명,학점,시간,교과목해설
2학년,2학기,1전선,HAAA6017,역사콘텐츠전공,한국중세사,3,3,"이 과목에서는, 먼저 해방 이후의 한국 역사학계가 강조해 온 고려시대사의 발전상과 그 문화유산을 살펴봄으로써, 한국사가 고대에서 중세로 발전해 가는 과정을 이해하는데 중점을 둔다. 이를 토대로 하여 궁극적으로는, 근대를 향한 한국사의 발전이라는 이러한 역사관과 그에 입각한 고려시대의 역사상이, 근대국민국가의 형성이라는 특정한 역사적 맥락에서 진행된 근대 한국역사학의 고려시대사(중세사) 연구의 산물이라는 점을 사학사적/지성사적 맥락에서 함께 살핀다."
2학년,2학기,1전선,HAAA9004,역사콘텐츠전공,일본의문화와생활,3,3,일본인들의 의식주를 포함한 일상생활 문화와 풍속을 통하여 일본인의 가치관과 미의식에 대해 알아본다.
2학년,2학기,1전선,HAAA9216,역사콘텐츠전공,전통중국과동아시아,3,3,"중국의 정치사회적 변화과정을 통해 근대 중국의 형성, 발전, 변화, 한계를 고찰하고, 동아시아 질서의 구조적 변화를 이해"
2학년,2학기,1전선,HAAA9231,역사콘텐츠전공,서양중세사,3,3,오늘날 서양 문화의 모태가 되는 유럽 중세 문화의 발생과 발전을 살펴봄으로써 서양 문명의 기원과 특성을 이해한다.
2학년,2학기,1전선,HAAA9232,역사콘텐츠전공,디지털문화유산과인공지능,3,3,"디지털 문화유산에 대해 이해하고, 이를 통해 디지털 원형, 복원, 전시와 활용의 과정을 이해한다. 디지털 문화유산에 적용 가능한 인공지능의 기술을 이해하고 활용한다."
3학년,1학기,1전심,HAAA0010,역사콘텐츠전공,한국근세사,3,3,"이 과목에서는, 먼저 해방 이후의 한국 역사학계가 강조해 온 조선시대사의 발전상과 그 문화유산을 살펴봄으로써, 한국사가 중세에서 근대로 발전해 가는 과정을 이해하는데 중점을 둔다. 이를 토대로 하여 궁극적으로는, 근대를 향한 한국사의 발전이라는 이러한 역사관과 그에 입각한 조선시대의 역사상이, 근대국민국가의 형성이라는 특정한 역사적 맥락에서 진행된 근대 한국역사학의 조선시대사(근세사) 연구의 산물이라는 점을 사학사적/지성사적 맥락에서 함께 살핀다."
3학년,1학기,1전선,HAAA4201,역사콘텐츠전공,서양근대사,3,3,"절대왕정, 프랑스 대혁명, 산업혁명, 민족주의 등 근대 서양사의 주요 사건과 개념을 살펴보면서 근대 사회의 성립 과정을 탐구한다."
3학년,1학기,1전심,HAAA6008,역사콘텐츠전공,영상역사학워크샵(캡스톤디자인),3,3,"스토리텔링을 통해 개발한 소재를 어떻게 영상으로 담아서 콘텐츠를 만드는지, 전 과정을 이해한다."
3학년,1학기,1전선,HAAA6024,역사콘텐츠전공,일본전통문화의이해,3,3,"노, 가부키, 스모 등 일본의 대표적 전통 문화를 다양하게 분석하고 이러한 전통 문화가 현대 일본의 대중문화와 일본인의 의식구조와 어떠한 연계성을 가지고 있는지 고찰한다."
3학년,1학기,1전선,HAFU0013,역사콘텐츠전공,역사스토리텔링,3,3,"역사적 사건이나 인물, 관련 문화유산을 대상으로 스토리텔링을 통해 다양한 역사콘텐츠로 활용하는 방안을 탐구한다. 이를 위해 스토리텔링 이론을 학습하고, 기존 역사 스토리텔링의 사례를 분석하여, 역사학의 연구성과를 대중들에게 널리 알리기 위한 스토리텔링 방안을 연구한다."
3학년,2학기,1전선,HAAA0009,역사콘텐츠전공,한국근대사,3,3,한국 근대의 역사에 담긴 스토리들과 그것이 담긴 문화유산들을 이해한다.
3학년,2학기,1전심,HAAA0013,역사콘텐츠전공,한국대외관계사의재조명,3,3,"이 과목은 한국사에서의 역대 왕조들과 그 이웃들의 관계를 일국사적 시각을 넘어서 거시적으로 살피는 것을 목표로 하며, 특히 양란 이전의 조선전기(15-16세기)에 조선이 그 이웃들과 맺었던 역동적인 관계성을 동아시아적인 맥락에서 파악하기 위해 노력한다. 또한 이러한 역사를 어떻게 지금의 현실에서 다양한 방법으로 유의미하게 활용할 수 있는가를 살핀다."
3학년,2학기,1전심,HAAA6012,역사콘텐츠전공,인물로보는일본사,3,3,"에도 막부, 메이지-다이쇼-쇼와까지 일본 근현대 시기를 중심으로, 막번 체제의 형성과 일본이 개국하는 과3정에서 정치적 변동, 메이지 유신과 문명개화 등을 통해 일본이 추구한 서구화 정책의 내용과 본질이 무엇인지 살펴본다."
3학년,2학기,1전심,HAAA6028,역사콘텐츠전공,서양현대사,3,3,"제국주의, 양차 세계대전, 러시아혁명, 대공황, 파시즘, 냉전 등 20세기 서양사의 주요사건과 개념을 살펴보면서 현대 서양사회의 형성과 변화 과정을 탐구한다."
3학년,2학기,1전선,HAAA9214,역사콘텐츠전공,박물관의이해와현장실습,3,3,"박물관의 역사와 기획전시, 유물관리, 사회적 기능 등 박물관 제도의 포괄적인 측면에 대해서 다룬다. 특히 학교주변의 박물관과 미술관을 탐방하여 현장 감각을 익히고 이론적인 학습의 기반을 쌓는다."
3학년,2학기,1전선,HAAA9234,역사콘텐츠전공,중국도시문화와생활,3,3,"중국 도시 공간이 만들어낸 인간 생활의 흔적을 역사적으로 이해하고, 한·중 간 상호 이해와 공감 능력을 향상시킨다."
4학년,1학기,1전선,HAAA6026,역사콘텐츠전공,한국현대사,3,3,한국 현대의 역사에 담긴 여러 이야기들과 그것에 담긴 문화유산들을 이해한다.
4학년,1학기,1전심,HAAA9006,역사콘텐츠전공,동아시아속의한일관계사,3,3,고대부터 현대에 이르기까지 한일관계에 있어서 주요한 쟁점이 되고 있는 주제를 살펴봄으로써 한일관계의 역사적인 진실을 이해하고 한일관계사에 대한 정확한 지식을 습득한다.
4학년,1학기,1전심,HAAA9221,역사콘텐츠전공,서울의역사와문화유산,3,3,"이 과목은 우리의 일상적 삶의 시공간적 무대가 되고 있는 서울의 지역사회가 여전히 품고 있는 역사적/문화적 유산을 구체적으로 이해하는 것을 목표로 하며, 주로 서울에 많이 남아 있는 조선시대와 근대의 문화유산과 그것에 반영되어 있는 당대의 역사적 맥락을 중점적으로 살펴본다."
4학년,1학기,1전선,HAAA9223,역사콘텐츠전공,서양사의이해,3,3,서양사 연구의 주요 쟁점을 선정해서 이 쟁점에 관한 학계의 연구와 논쟁을 탐구함으로써 서양사 이해도를 높인다.
4학년,2학기,1전선,HAAA9211,역사콘텐츠전공,한국사특강,3,3,오늘날 한국사회의 주요 쟁점에 대해 역사적 관점에서 집중 탐구함으로써 보다 실질적인 차원에서 한국의 현실을 이해하고 미래를 전망한다.
4학년,2학기,1전심,HAAA9222,역사콘텐츠전공,현대중국의이해,3,3,오늘날 중국의 주요 쟁점에 대해 집중 탐구함으로써 보다 실질적인 차원에서 중국의 현실을 이해하고 미래를 전망한다.
1학년,1학기,1전선,HAAQ0001,지적재산권전공,법학개론,3,3,"이 과정은 모든 법률과정의 기초가 되는 수업이다. 특히 지적재산권법은 다양한 법과 관련이 있는데, 예컨대 저작권이 침해되었을 때는 권리자가 민사적인 절차 혹은 형사적인 절차를 거쳐 구제를 받을 수 있다. 이 수업을 통하여 학생들은 지적재산권문제가 다른 많은 기초법들과 유기적인 관계를 갖는지를 배우도록 한다."
1학년,2학기,1전선,HAAQ9223,지적재산권전공,민법총칙,3,3,"모든 법학 공부의 기초가 되는 강좌로서 법원, 민법의 기본원리. 권리와 의무, 권리의 주체와 객체, 법률행위, 대리, 기간 및 소멸시효 등 민법 전반에 걸쳐 공통적으로 적용되는 원리나 제도 등을 학습한다."
1학년,2학기,1전선,HAAQ9237,지적재산권전공,상법총론,3,3,"본 강좌는 상법의 기본적인 제도와 원리를 체계적으로 이해하는 것을 주된 목적으로 한다. 본 강좌에서는 이를 위하여 상법의 개념, 법원, 특색, 이념 등 상법과 관련된 일반 이론을 설명하고, 그밖에 상인, 상업사용인, 상호, 상업장부, 상업등기, 영업양도, 그리고 대리상, 중개업, 위탁매매업, 운송업, 리스, 팩토링, 프랜차이즈 등의 상행위와 그 주요한 내용을 강의한다."
2학년,1학기,1전선,HAAQ0009,지적재산권전공,형사법,3,3,"본 과목은 형사상의 범죄와 형벌에 대한 기본적 이해를 목적으로 하며 형사법의 개념, 기능 등의 형사법의 일반적 이론을 검토하고 형법상의 범죄에 대한 구성요건과 그에 대한 형벌의 내용을 교육한다."
2학년,1학기,1전선,HAAQ0044,지적재산권전공,저작권법1,3,3,"본 과목에서는 저작권제도의 역사, 의의 및 기본적인 원리를 살펴보고 저작인격권, 저작재산권에 대한 상세한 이해와 저작권의 목적인 문화창달을 위한 저작재산권의 제한 부분을 공부한다."
2학년,1학기,1전선,HAAQ9213,지적재산권전공,지적재산권개론,3,3,"지식재산은 예전과는 달리 국가의 미래를 좌우하는 핵심 요소이며 국가의 산업 발전을 위한 신성장동력이다. 미국, EU, 일본을 비롯한 선진국들은 지적재산권의 강화를 지속하고 있고 이를 통해 지적재산권 관련 산업을 발전시키기 위한 노력을 경주해 오고 있으며, 한미 FTA를 비롯하여 EU, 중국 등과의 자유무역협정이 이루어지거나 활발하게 논의되어 왔는데, 여기에서 핵심적인 논의 중 하나가 지적재산권이다. 더욱이 지적재산은 예전보다 우리의 생활에 가까이 있고 누구나 쉽게 특허, 실용신안, 저작권 등의 용어를 볼 수 있게 되었다. 본 수업에서는 그 중 인터넷상에서 문제될 수 있는 지적재산권의 내용에 대해 배우도록 한다."
2학년,1학기,1전선,HAAQ9227,지적재산권전공,물권법총론,3,3,"물권법 학습의 기초가 되는 물권의 본질, 효력, 종류와 법률행위에 의한 물권변동 및 법률의 규정에 의한 물권변동 등을 살펴본다."
2학년,1학기,1전선,HAAQ9239,지적재산권전공,회사법1,3,3,"본 강좌에서는 회사와 관련된 법률문제를 중심으로 하여 회사의 의의 및 종류, 회사의 성질, 주식회사의 3요소, 모든 회사에 적용되는 회사의 합병과 해산명령 등의 제도를 살펴보고 회사법에 대한 전반적 인 이해를 도모하는 것을 목적으로 한다. 그리고 본 강좌에서는 합명회사, 합자회사, 주식회사, 유한회 사 등 상법상 회사의 종류를 개관하고 그 내용을 고찰하며, 상법에서 규정하고 있는 회사의 조직, 설립 절차, 기관의 구조, 주주 기타 사원의 책임, 회사채권자의 보호 등을 강의한다."
2학년,2학기,1전선,HAAQ0037,지적재산권전공,저작권법2,3,3,"저작권법I에서 배운 기초지식을 가지고 저작인접권 (실연자, 음반사업자, 방송사업자)의 내용을 이해하고, 영상저작물 특례, 데이터베이스 특례, 컴퓨터프로그램의 특례 및 저작권 침해 구제방법을 공부한다."
2학년,2학기,1전선,HAAQ0043,지적재산권전공,특허법1,3,3,"기술개발과정과 개발된 기술의 사업화 과정을 통해 특허법을 중심으로 지식재산권 체계 전반을 이해하고, 선행기술조사 및 명세서작성 실무를 체득함."
2학년,2학기,1전선,HAAQ9214,지적재산권전공,상표법,3,3,"본 과목에서는 상표권 획득 방법, 상표의 대상, 트레이드 드레스의 보호, 희석화이론, 상표권 침해와 상표권의 이용허락 등 상표에 관련된 모든 것을 이해할 할 수 있도록 한다."
2학년,2학기,1전선,HAAQ9225,지적재산권전공,전공영어,2,2,이 수업을 통하여 영어로 지적재산권법을 배울 기회를 가진다. 이를 통하여 학생들은 지적재산권법과 영어라는 두 가지 부분에서 역량을 키울 수 있다.
2학년,2학기,1전선,HAAQ9228,지적재산권전공,물권법각론,3,3,"물권법총론을 기초로 하여, 점유권, 소유권, 용익물권인 지상권, 지역권, 전세권, 담보물권인 유치권, 질권, 저당권의 의의, 내용, 효력 등을 학습한다."
2학년,2학기,1전선,HAAQ9240,지적재산권전공,회사법2,3,3,"본 강좌는 회사법 1의 수업 내용을 기초로 하여 주식회사를 중심으로 진행된다. 구체적으로 ⅰ) 주식회사의 기관과 관련하여 주주총회, 이사회, 대표이사, 감사 등을 살펴보고, ⅱ) 주식회사의 자본금과 관련 하여 유상증자, 신주발행, 자본금감소 등에 관하여 고찰하는 것을 목적으로 한다. 또한 본 강좌에서는  ⅲ) 주식회사의 회계와 관련하여 준비금, 준비금의 자본전입, 사채 등을 살펴보고, 그밖에 ⅳ) 회사의 조직변경과 관련하여 회사의 합병, 회사의 분할, 주식의 교환 및 이전 등을 고찰하는 것을 목적으로 한다."
2학년,2학기,1전선,HAFU0021,지적재산권전공,게임과저작권,3,3,이 강의에서 학생들은 게임 제작과 유통과정에서 문제될 수 있는 저작권에 대해 이해한다.
3학년,1학기,1전심,HAAQ0015,지적재산권전공,국제저작권법,3,3,이 수업은 국제저작권법의 이해를 돕는다. 저작권법은 국제법적인 성격을 가지고 있으므로 국내저작권법의 기초를 이해시키는 수업이 되도록 한다.
3학년,1학기,1전심,HAAQ0032,지적재산권전공,저작권침해와구제,3,3,과거 저작권 침해가 일어난 사례를 통해 학습하며 저작권 침해에 의한 배상과 공정이용 등에 의한 법적인 저작권 구제에 대하여 공부한다.
3학년,1학기,1전선,HAAQ0040,지적재산권전공,특허법2,3,3,"사례 중심으로 특허법의 여러 쟁점을 심화학습하고, 특허권에 기초한 사업계획서를 작성하면서 아이디어 사업화 실무를 체득함."
3학년,1학기,1전심,HAAQ9230,지적재산권전공,채권법총론,3,3,"채권의 본질, 내용, 목적 및 채권의 효력으로서의 채무불이행과 그 효과, 책임재산 보전제도 등을 살펴보고 각종 채권의 소멸, 다수당사자의 채권관계, 채권양도, 채무인수 등 채권관계 전반에 걸친 공통적 내용을 학습한다."
3학년,1학기,1전심,HAAQ9241,지적재산권전공,어음수표법,3,3,"본 강좌는 전형적인 유가증권인 어음 및 수표와 관련된 법률문제를 다루는 강의로서, 유가증권의 의의와 종류 및 성질 등을 살펴보는 것을 목적으로 하고, 그밖에 환어음, 약속어음, 수표 등에 관하여 백지어음, 무권대리, 위조와 변조, 선의취득, 항변 등의 법리와 각종 증권의 발행, 배서, 인수 등의 법률관계를 고찰하는 것을 목적으로 한다."
3학년,1학기,1전선,HAFU0013,지적재산권전공,역사스토리텔링,3,3,"역사적 사건이나 인물, 관련 문화유산을 대상으로 스토리텔링을 통해 다양한 역사콘텐츠로 활용하는 방안을 탐구한다. 이를 위해 스토리텔링 이론을 학습하고, 기존 역사 스토리텔링의 사례를 분석하여, 역사학의 연구성과를 대중들에게 널리 알리기 위한 스토리텔링 방안을 연구한다."
3학년,2학기,1전심,HAAQ9216,지적재산권전공,콘텐츠와법,3,3,"콘텐츠의 사회경제적 가치가 증가하므로 콘텐츠산업을 차세대 성장 동력으로 인식되고 있다. 이러한 현 상황에서 콘텐츠와 관련된 법률들을 공부할 필요가 있다. 본 수업에서는 저작권법, 게임산업진흥에 관한 법률, 영화에 관련된 법률 등을 공부하고자 한다."
3학년,2학기,1전심,HAAQ9217,지적재산권전공,콘텐츠계약론,3,3,"콘텐츠의 양도, 이용허락 등 라이선스계약에 관한 이론과 실무지식을 습득한다."
3학년,2학기,1전선,HAAQ9231,지적재산권전공,음악저작물과저작권법,3,3,"현대사회에서 필수적인 콘텐츠인 대중음악의 변화를 이해하고, 음악저작물의 저작권 및 저작인접권의 생성 및 음악저작물 및 저작인접권에 대한 소송을 이해하며, 어떤 논리에 의하여 이루어졌는지 이해하고자 한다."
3학년,2학기,1전선,HAAQ9232,지적재산권전공,채권법각론,3,3,"일반적인 채권의 발생원인과 계약의 일반적 이론을 고찰하고, 매매, 증여, 임대차, 위임, 도급 등 민법상 규정된 각종 계약의 성립요건과 효력을 구체적으로 살펴보고 법정채권관계인 사무관리, 부당이득, 불법행위를 학습한다."
3학년,2학기,1전심,HAAQ9242,지적재산권전공,보험해상법,3,3,"본 강좌에서는 보험편에서 보험법의 이념, 손해보험과 인보험의 법률관계 특히 고지의무, 보험증권, 보험사고, 보험료, 보험금 등을 살펴보고 보험법에 대한 이해를 도모하는 것을 목적으로 한다. 그리고 본 강좌에서는 해상편에서 선박충돌, 해난구조, 선박우선특권, 선박소유자의 책임제한 및 운송인의 손해배상책임 등을 고찰하여 해상법에 관한 이해를 도모하는 것을 목적으로 한다."
4학년,1학기,1전심,HAAQ0005,지적재산권전공,민사소송법,3,3,"사권을 보호하는 민법에서 배운 권리가 법원에서는 어떤 절차에 따라 보호되는지를 이해하기 위하여 민사소송제도의 일반원칙, 소송의 주체인 법원과 당사자, 그리고 소에 관하여 살펴보고, 이를 기초로 소의 제기로부터 소송심리로 이어지는 소송절차를 구체적으로 강의한다."
4학년,1학기,1전선,HAAQ9246,지적재산권전공,친족상속법,2,2,"기본적인 친족관계를 구성하기 위한 가족제도, 혼인, 이혼, 친자관계, 입양제도, 친권, 후견, 친족회 및 부양제도 등을 고찰하고, 상속제도로서의 호주승계, 재산상속, 유언 등에 관하여 구체적으로 살펴 본다."
4학년,2학기,1전선,HAAQ0030,지적재산권전공,지적재산권연습,3,3,이 수업은 학생들이 다양한 저작권 사례들의 연구를 통하여 소송에 대한 전략을 배울 수 있도록 한다. 또한 배운 사례들을 실무에서도 잘 활용할 수 있도록 한다.
4학년,2학기,1전심,HAAQ9236,지적재산권전공,민법연습,2,2,"물권법과 채권법을 망라한 민법의 실제 사례에 대한 분석을 통하여, 민법의 일반적 이론과 법리를 실용적으로 응용할 수 있는 능력을 배양하고 대법원의 민사 판결에 대한 분석 능력을 제고하여 민법 전반에 대한 이해력을 향상시키는 것을 목적으로 한다."
전체학년,하계 특별학기(A),1전선,HATB0034,지적재산권전공,법학개론(특별),3,3,
1학년,1학기,1전선,HAAH0005,문헌정보학전공,정보통신기술론,3,3,"우리는 정보기술에 의지하고 있고 정보기술에 의해 변화되어지고 있다. 이 과목은 정보기술의 기본적인 개념과 응용을 소개한다. 또한 개인과 사회에 미치는 영향에 대해서도 살펴본다. 이 과목의 주요 내용은 정보 기술의 기본 개념, 네트워크, 데이터베이스, 보안 그리고 웹 기술을 포함한다."
1학년,1학기,1전선,HAFA0003,문헌정보학전공,문헌정보학의 이해,3,3,문헌정보학 전공자에게 필요한 기초 지식을 함양한다. 이를 위하여 도서관을 비롯한 지식정보 환경을 이해하고 정보전문직 사서가 갖추어야 할 전문 지식과 기술 및 서비스 등에 대하여 공부한다.
1학년,2학기,1전선,HAAH1021,문헌정보학전공,정보문화사,3,3,"고대로부터 현대에 이르기까지 정보매체, 도서관, 정보자료, 정보의 조직과 전달에 관하여 학습하고 도서관의 기능과 역할을 사회문화적 기술적 측면에서 다룸으로써 문헌정보학의 기초적 지식배경을 갖도록 한다."
1학년,2학기,1전선,HAAH1132,문헌정보학전공,정보자료분류법,3,3,"문헌분류법의 심층 교과목으로서 KDC, DDC등의 분류연습을 통하여 각종 문헌의 실제적인 정리 능력을 제고한다."
1학년,2학기,1전선,HAAH2182,문헌정보학전공,정보서비스론,3,3,"참고 정보봉사 업무의 목적과 기능 및 필요한 제반기술에 관한 일반원칙을 이해하고, 이를 바탕으로 참고자료의 선택과 이용, 정보서비스 운영 및 평가에 대한 실제적 능력을 기른다."
2학년,1학기,1전선,HAAA9228,문헌정보학전공,데이터리터러시기초,2,2,"본 과목은 디지털 시대에 생성되는 방대한 정보 활용을 위한 이론 및 기술을 익힌다. 페이스북, 인스타그램 등 다양한 소셜미디어 채널에 대한 이해와 디지털 정보 기반 디지털 마케팅, 정보 유통, 고객 소통 등에 대해서 배운다."
2학년,1학기,1전선,HAAA9235,문헌정보학전공,디지털리터러시,3,3,"이 교과목은 디지털 기술의 활용과 정보와 메시지의 비판적 평가 역량을 강화하는데 목적을 둔다. 구체적으로, 정보리터러시, 디지털리터러시, 디지털 시민의식, 가짜정보와 거짓정보, 미디어 크리에이터, 미디어 이용자에 대하여 학습하며, 나아가 디지털리터러시 교육전문가로써 교육 프로그램 기획 및 운영 방법을 탐구한다."
2학년,1학기,1전선,HAAH0007,문헌정보학전공,정보시스템분석과설계,3,3,"정보시스템과 관련하여 정보서비스를 제공하기 위한 이론과 기술을 배운다. 정보시스템의 기능적 요소의 하나인 인터페이스 평가 및 분석, 이용자 요구 분석, 시스템 평가 등을 통해 현재 정보시스템을 분석하고 데이터베이스 모델링 및 인터페이스 디자인 원칙을 적용하여 정보시스템 설계를 다룬다."
2학년,1학기,1전선,HAAH6002,문헌정보학전공,정보자원개발,3,3,"도서관 장서구성에 관한 이론과 실제를 다룬다. 적시에 적자에게 적절한 정보를 제공하는데 필요한 이용자 연구, 자료의 선택 및 평가, 출판과 유통, 장서의 보존 및 폐기, 자원의 공유 등을 공부하여 장서개발자로서의 문제해결 능력을 제고한다."
2학년,1학기,1전선,HAAH6006,문헌정보학전공,주제별정보원,2,2,"학분분야별 특성을 이해하고, 분야별 참고정보원에 대한 전문 지식을 습득케 하여 학생들로 하여금 커뮤니케이션에 대한 이해 증진과 함께 서지적 지식을 갖추도록 한다."
2학년,1학기,1교직,HATT0010,문헌정보학전공,교육학개론,2,2,교육의 제 원리와 그 실제에 대한 학문적 이해를 통해 앞으로의 교직과목 이수에 요구되는 교육학적 지식의 기초를 마련한다. 현대 교육학의 기본 개념과 이론적 구상들을 통해 교육의 목적과 의미를 개관한다.
2학년,1학기,1교직,HATT0040,문헌정보학전공,교육사회,2,2,"교육사회학은 교육이란 활동을 사회라는 거대한 조직과 연결하여 교육현장에서 활용할 수 있는 사회학적 지식을 체계화 한 것이란 관점에서, 교육의 사회적 기능 및 사회?문화간의 관계를 기존의 이론적 틀 속에서 규명하여 새로운 교육의 미래를 진단한다."
2학년,1학기,1교직,HATT0212,문헌정보학전공,디지털교육,1,1,"본 강의는 시대에 부합하는 인재 양성 및 교육의 효과성 제고를 위해 예비교사의 AI?디지털 교육에 대한 이해 및 실천 역량을 키우는 것을 목적으로 한다. 본 강의는 AI?디지털에 대한 개념과 원리를 다루고, AI?디지털 기술의 올바른 사용과 윤리적 실천에 대한 비판적 관점과 논의를 진행한다. 학습자들은 예비교사로서 AI?디지털 융합 및 활용 교육의 개념을 이해하고 관련 사례를 접함으로써 교육 현장에서의 AI?디지털 기술을 효과적으로 활용할 수 있는 기초 소양을 기른다."
2학년,2학기,1전선,HAAH0008,문헌정보학전공,도서관콘텐츠제작,3,3,"개인, 단체, 사회는 엄청난 양의 디지털 정보/컨텐츠를 생성하고 있다. 이 과목은 디지털 컨텐츠와 관련된 기본 개념 및 원칙, 관련 업무 프로세스에 대하여 이해하고 디지털 컨텐츠의 생성, 보존, 관리 등에 대해서 배운다."
2학년,2학기,1전선,HAAH2151,문헌정보학전공,자동화목록법실습,3,3,"도서관 자료의 목록을 작성하는 규칙의 생성과정?발전과정?표준 목록작성법을 배우고, 한국문헌자동화규칙(KORMARC)에 의거한 인쇄매체와 전자매체 등을 포함한 모든 자료의 목록법을 자동화된 목록법 프로그램을 통하여 실습한다."
2학년,2학기,1전선,HAAH6005,문헌정보학전공,도서관·정보센터경영론,3,3,도서관 및 정보센터 경영에 관한 이론과 원칙들에 대한 탐구를 통하여 향후 도서관 전문 사서로서 도서관 경영에 필요한 기초 지식과 자질을 함양한다.
2학년,2학기,1전선,HAAH6011,문헌정보학전공,데이터베이스구축,3,3,"데이터베이스에 관한 주요 개념들을 이론적으로 살펴보고, 실습을 통하여 정보시스템의 분석 및 설계에 관한 전문 지식을 습득하도록 한다."
2학년,2학기,1교직,HATT0002,문헌정보학전공,교육과정,2,2,"교육과정의 개념, 이론, 유형, 변천사, 그리고 최근의 교육과정 쟁점 등을 탐구하고, 교육과정 문해력을 함양하며, 교육과정을 편성, 재구성 및 개발하고 운영할 수 있는 능력을 배양한다."
2학년,2학기,1교직,HATT0020,문헌정보학전공,교육심리,2,2,"가르치고 배우는 과정과 관련된 인간의 심리를 체계적으로 이해하고, 교육현장에서 만나는 학생들의 심리적 특성을 탐구한다."
2학년,2학기,1교직,HATT0030,문헌정보학전공,교육철학및교육사,2,2,교육이론의 기저를 형성하는 상이한 인간이해 및 주요한 철학적 관점을 소개하면서 교육의 본질과 목적 그리고 교육적 가치의 역사?문화적 요인들을 논의한다. 다양한 교육사상가와 교육철학을 비교?평가함으로써 교육의 기본적인 문제점들과 그에 대한 해결방안을 모색하며 그에 따른 교육의 이론과 철학의 동향을 연구한다.
2학년,2학기,1교직,HATT0104,문헌정보학전공,교직실무,2,2,교직에 대한 이해를 높이고 교사의 실질적 업무를 개괄함으로써 바람직한 교사가 되기 위한 소양을 기른다. 1. 교사의 삶과 교직에 대한 자신의 견해를 확인하며 왜 교사가 되고자 하는지를 숙고한다. 2. 교사의 다양한 업무에 대해 실질적으로 이해한다.
